Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,312.000000,324.700012,299.149994,323.649994,306.978821,204109228
2017-07-01,346.000000,354.799988,276.399994,285.250000,274.643738,469185003
2017-08-01,285.299988,289.899994,270.100006,282.250000,271.755310,235842675
2017-09-01,282.200012,284.350006,256.799988,258.299988,248.695816,266493554
2017-10-01,258.299988,276.000000,258.299988,265.700012,255.820694,187815640
2017-11-01,267.000000,271.200012,250.399994,256.049988,246.529465,238310417
2017-12-01,256.950012,267.500000,250.000000,263.250000,253.461777,177780089
2018-01-01,263.250000,283.299988,259.549988,271.399994,261.308716,312417822
2018-02-01,272.000000,290.299988,262.149994,265.049988,255.194824,283590574
2018-03-01,264.200012,272.000000,252.500000,255.500000,245.999939,198313240
2018-04-01,257.000000,283.850006,255.449997,281.450012,270.985077,202890294
2018-05-01,281.450012,289.700012,268.750000,271.649994,261.549438,195457676
2018-06-01,271.149994,274.600006,259.000000,266.200012,261.196259,192470283
2018-07-01,267.000000,307.149994,260.049988,297.700012,292.104156,348466313
2018-08-01,298.049988,322.600006,296.100006,319.850006,313.837799,263506401
2018-09-01,322.950012,322.950012,289.500000,297.750000,292.153198,233947297
2018-10-01,300.850006,302.950012,263.649994,280.100006,274.834961,252722016
2018-11-01,280.000000,290.000000,273.149994,285.799988,280.427826,183521572
2018-12-01,287.250000,289.500000,268.200012,281.649994,276.355835,188635478
2019-01-01,282.200012,297.399994,273.600006,278.649994,273.412201,263251945
2019-02-01,280.649994,285.200012,268.450012,276.049988,270.861084,327891019
2019-03-01,276.450012,303.000000,276.049988,297.250000,291.662598,246356876
2019-04-01,297.000000,310.000000,291.700012,301.350006,295.685547,185143666
2019-05-01,301.350006,310.000000,277.450012,278.549988,273.314087,291592696
