Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,9603.549805,9709.299805,9448.750000,9520.900391,9520.900391,3558000
2017-07-01,9587.950195,10114.849609,9543.549805,10077.099609,10077.099609,3732400
2017-08-01,10101.049805,10137.849609,9685.549805,9917.900391,9917.900391,4168000
2017-09-01,9937.650391,10178.950195,9687.549805,9788.599609,9788.599609,4165300
2017-10-01,9893.299805,10384.500000,9831.049805,10335.299805,10335.299805,4500300
2017-11-01,10390.349609,10490.450195,10094.000000,10226.549805,10226.549805,4650900
2017-12-01,10263.700195,10552.400391,10033.349609,10530.700195,10530.700195,3504400
2018-01-01,10477.549805,11171.549805,10404.650391,11027.700195,11027.700195,4560600
2018-02-01,11044.549805,11117.349609,10276.299805,10492.849609,10492.849609,4389900
2018-03-01,10479.950195,10525.500000,9951.900391,10113.700195,10113.700195,4389100
2018-04-01,10151.650391,10759.000000,10111.299805,10739.349609,10739.349609,4499400
2018-05-01,10783.849609,10929.200195,10417.799805,10736.150391,10736.150391,5142500
2018-06-01,10738.450195,10893.250000,10550.900391,10714.299805,10714.299805,4683800
2018-07-01,10732.349609,11366.000000,10604.650391,11356.500000,11356.500000,4648500
2018-08-01,11359.799805,11760.200195,11234.950195,11680.500000,11680.500000,4923000
2018-09-01,11751.799805,11751.799805,10850.299805,10930.450195,10930.450195,5151800
2018-10-01,10930.900391,11035.650391,10004.549805,10386.599609,10386.599609,7030800
2018-11-01,10441.700195,10922.450195,10341.900391,10876.750000,10876.750000,5318400
2018-12-01,10930.700195,10985.150391,10333.849609,10862.549805,10862.549805,6533100
2019-01-01,10868.849609,10987.450195,10583.650391,10830.950195,10830.950195,7273800
2019-02-01,10851.349609,11118.099609,10585.650391,10792.500000,10792.500000,7461400
2019-03-01,10842.650391,11630.349609,10817.000000,11623.900391,11623.900391,6857200
2019-04-01,11665.200195,11856.150391,11549.099609,11748.150391,11748.150391,6516900
2019-05-01,11725.549805,12041.150391,11108.299805,11922.799805,11922.799805,8645600
