,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,VWAP,OHLC Avg Price,Day_Perc_Change,Trend
0,2019-10-24,1780.78,1770.78,1787.97,1760.78,5200000.0,10,2019,1780.78,1775.0774999999999,0.0,Slight or No change
1,2019-10-23,1762.17,1761.3,1770.05,1742.0,2190000.0,10,2019,1775.2649932341,1758.88,-0.01045047675737587,Slight or No change
2,2019-10-22,1765.73,1788.15,1789.78,1762.0,2230000.0,10,2019,1773.0546985446986,1776.415,0.002020236413058818,Slight or No change
3,2019-10-21,1785.66,1769.66,1785.88,1765.0,2220000.0,10,2019,1775.4181925675675,1776.5500000000002,0.011287116376796025,Slight or No change
4,2019-10-18,1757.51,1787.8,1793.98,1749.2,3370000.0,10,2019,1771.4503681788296,1772.1225,-0.015764479240168994,Slight or No change
5,2019-10-17,1787.48,1796.49,1798.85,1782.02,2710000.0,10,2019,1773.8744921875,1791.21,0.01705253455172384,Slight or No change
6,2019-10-16,1777.43,1773.33,1786.24,1770.52,2800000.0,10,2019,1774.3549662162163,1776.88,-0.0056224405308030745,Slight or No change
7,2019-10-15,1767.38,1742.14,1776.45,1740.62,3130000.0,10,2019,1773.4395932914047,1756.6475,-0.005654231108960683,Slight or No change
8,2019-10-14,1736.43,1728.91,1741.89,1722.0,1930000.0,10,2019,1770.66889837083,1732.3075000000001,-0.017511797123425654,Slight or No change
9,2019-10-11,1731.92,1742.92,1745.45,1729.86,3280000.0,10,2019,1766.2953131452168,1737.5375,-0.0025972829310711987,Slight or No change
10,2019-10-10,1720.26,1725.24,1738.29,1713.75,2720000.0,10,2019,1762.3552234109502,1724.385,-0.006732412582567404,Slight or No change
11,2019-10-09,1721.99,1719.61,1729.95,1714.36,2089999.9999999998,10,2019,1759.8644257454976,1721.4775,0.001005661934823765,Slight or No change
12,2019-10-08,1705.51,1722.49,1727.0,1705.0,2630000.0,10,2019,1755.9479287671234,1715.0,-0.00957032270802971,Slight or No change
13,2019-10-07,1732.66,1731.63,1747.83,1723.7,2190000.0,10,2019,1754.6297441199276,1733.955,0.015918991973075558,Slight or No change
14,2019-10-04,1739.65,1726.02,1740.58,1719.23,2490000.0,10,2019,1753.7239752306946,1731.37,0.0040342594623294925,Slight or No change
15,2019-10-03,1724.42,1713.0,1725.0,1685.06,3620000.0,10,2019,1751.356109375,1711.87,-0.008754634552927354,Slight or No change
16,2019-10-02,1713.23,1727.74,1728.89,1705.0,3340000.0,10,2019,1748.7108828417117,1718.7150000000001,-0.006489138376961523,Slight or No change
17,2019-10-01,1735.65,1746.0,1755.6,1728.41,3170000.0,10,2019,1747.9039641395439,1741.415,0.013086392369967781,Slight or No change
18,2019-09-30,1735.91,1726.99,1737.46,1709.22,2760000.0,9,2019,1747.291732938783,1727.3950000000002,0.00014979978682339024,Slight or No change
19,2019-09-27,1725.45,1748.0,1749.12,1713.82,3950000.0,9,2019,1745.8047483626335,1734.0974999999999,-0.006025658012224211,Slight or No change
20,2019-09-26,1739.84,1762.79,1763.37,1731.5,3570000.0,9,2019,1745.459007955837,1749.375,0.00833985337158416,Slight or No change
21,2019-09-25,1768.33,1747.36,1773.0,1723.0,3530000.0,9,2019,1746.69878992629,1752.9225,0.016375068971859585,Slight or No change
22,2019-09-24,1741.61,1790.61,1795.7,1735.55,4640000.0,9,2019,1746.3603153669724,1765.8675,-0.01511030181018247,Slight or No change
23,2019-09-23,1785.3,1777.0,1792.7,1767.32,3140000.0,9,2019,1748.0375528120712,1780.58,0.02508598365879844,Slight or No change
24,2019-09-20,1794.16,1821.71,1830.63,1780.92,5560000.0,9,2019,1751.3059801172571,1806.855,0.004962751358315254,Slight or No change
25,2019-09-19,1821.5,1821.02,1832.57,1817.9,2080000.0,9,2019,1753.1187881797864,1823.2475,0.015238328800107004,Slight or No change
26,2019-09-18,1817.46,1817.04,1822.06,1795.5,2540000.0,9,2019,1755.0858883004332,1813.0149999999999,-0.0022179522371671423,Slight or No change
27,2019-09-17,1822.55,1807.08,1823.99,1804.1,2029999.9999999998,9,2019,1756.6950076371754,1814.4299999999998,0.0028006118429015903,Slight or No change
28,2019-09-16,1807.84,1824.02,1825.69,1800.2,3680000.0,9,2019,1758.8147685550175,1814.4374999999998,-0.008071109160242562,Slight or No change
